#{"t_start": 1760600999.917819, "env_id": "None"}
r,l,t
9.9637,12,1.006849
9.9225,24,1.866232
9.840099,48,3.598772
9.8197,52,3.898629
9.8970995,30,4.043979
9.9687,14,5.289843
-5.3525076,74,5.860809
9.9173,28,5.999217
4.6166115,83,6.494003
1.0757961,91,7.067485
6.8560996,40,7.282573
6.4637,14,8.08555
-2.597313,122,9.33442
9.9584,17,9.33442
1.279396,57,9.405328
-16.026213,113,9.559332
6.2896996,54,9.934063
9.478399,17,10.616767
-2.776412,65,10.616767
6.9634,17,10.691818
9.9685,16,11.115765
6.4378996,22,11.188602
-29.759928,148,11.250407
-23.75992,148,11.251466
8.9682,19,12.486096
1.1622896,78,12.990535
2.907299,28,13.214632
-0.14350128,36,13.214632
5.340702,44,13.872102
5.223707,64,14.015789
3.7951994,49,14.157826
9.9636,15,14.302024
-6.036316,114,14.846035
1.4947944,53,15.138392
9.9737,14,15.20662
-0.24550533,56,15.355731
8.4678,23,15.590977
9.9634,17,15.590977
7.3254995,46,15.887902
9.979,11,15.957088
4.3155003,46,16.390932
4.3157997,43,16.390932
8.958,21,16.390932
3.3965988,35,16.61359
8.9687,14,16.61359
6.9630995,20,16.69067
6.4579997,21,17.138865
5.402301,28,17.426374
5.9481006,20,18.099088
5.9478006,23,18.099088
9.9788,13,18.404742
3.422598,25,18.558102
4.876402,37,18.712964
9.8819,32,18.795669
3.8510985,40,18.86199
2.8666992,34,19.161666
3.8514018,37,19.161666
5.9022007,29,19.323886
9.9686,15,19.697197
9.9484,17,19.698294
4.9277,24,20.062247
9.9686,15,20.440675
7.9684,17,20.588717
8.9024,27,20.885401
8.4583,18,21.183671
3.3817983,33,21.490305
4.4023013,28,21.558546
5.9126015,25,21.953557
3.9427996,23,22.167754
9.9788,13,22.168752
9.9432,19,22.325495
6.8716993,34,22.392951
9.9635,16,22.776725
9.8616,35,23.21783
9.9584,17,23.447324
5.443001,21,23.517092
8.9734,17,23.598723
4.4226007,25,24.291894
9.9586,15,24.381293
-0.63890266,40,24.532468
7.9733996,17,24.750639
-4.368103,82,25.131322
4.392002,31,25.131322
6.9227,24,25.424708
0.31569672,44,25.504483
-2.4652052,103,26.03463
6.8717995,33,26.03463
3.386898,32,26.744111
3.4071984,29,26.744111
4.9481,20,26.966721
9.927899,22,27.20506
6.4071994,29,27.351034
7.3712997,38,27.650567
9.3257,44,27.721827
8.3717,34,27.721827
4.402301,28,28.177537
9.9682,19,28.177537
8.3922,29,28.261901
7.9632998,18,28.331538
9.9581995,19,28.770232
7.8970995,30,28.999982
9.9633,18,29.081633
6.9480996,20,29.256186
9.9321995,29,29.400042
9.948299,18,29.704553
9.8973,28,29.786351
7.4627995,23,29.935983
7.3973,28,30.405525
9.9532995,18,30.47668
9.8464,37,31.006079
7.9174995,26,31.006079
9.9583,18,31.076198
9.9836,15,31.076198
7.9224,27,31.312811
9.9176,25,31.312811
9.9067,34,31.38228
9.9074,27,31.840031
5.9482,19,31.917777
9.973599,15,32.13409
9.9634,17,32.364286
9.9432,19,32.445236
7.3920994,30,32.666104
7.3869996,31,33.640902
8.4531,20,33.640902
8.371699,34,33.640902
5.8818026,33,33.871224
6.9532,19,33.871224
7.9472,29,34.039048
4.876401,37,34.108423
8.4226,25,34.549985
9.9687,14,34.714776
7.4585,16,34.951624
6.9635,16,34.952623
8.3665,36,35.188436
5.810601,45,35.424865
9.9585,16,36.1678
11.9687,14,36.236283
6.9328995,22,36.471045
7.9326,25,36.561385
7.8915,36,36.707141
11.9114,37,37.004862
7.8359995,41,37.21713
9.8869,32,37.36272
9.9841,10,37.442364
1.2749949,51,37.806278
9.9788,13,38.190199
7.9021997,29,38.340939
9.887,31,38.784313
9.9685,16,39.030559
9.876699,34,39.097692
9.9327,24,39.176559
7.9075,26,39.411366
9.4686,15,39.478719
7.4279,22,39.841223
7.4431,20,40.288183
7.9582996,18,40.524387
4.9933023,68,40.524387
9.9688,13,40.833452
8.932899,22,41.132047
7.8973,28,41.200716
7.3921,30,41.278463
9.9686,15,41.448695
8.4738,13,41.526215
