#{"t_start": 1760601134.622407, "env_id": "None"}
r,l,t
9.9272995,26,2.235615
9.927199,27,2.318819
9.917,29,2.470402
9.9169,30,2.542352
9.9169,30,2.542352
9.9168,31,2.620872
9.916599,33,2.784352
9.8962,37,3.085494
9.891,39,3.244565
7.9101996,47,3.872499
7.4014997,36,5.722975
6.8912992,38,5.801927
6.3858995,42,6.299518
7.3754992,46,6.299518
6.8601995,49,6.469415
7.8704996,46,6.557806
9.8962,39,6.723746
9.8909,42,6.801396
8.3794,57,7.715724
9.8757,44,7.792023
9.9323,28,8.043035
9.916599,35,8.683262
9.927,31,8.836034
9.9169,32,9.062761
9.9168,33,9.216973
9.890499,46,10.013359
9.931,41,10.100947
9.9058,43,10.175641
9.927,31,10.26005
9.941199,39,10.819036
9.9015,36,11.553748
7.3863993,37,11.802909
9.855,51,12.137637
7.4064994,36,12.138634
9.891,41,13.563718
9.885699,44,13.736213
9.8757,44,13.905198
9.9321995,29,13.983078
8.865199,49,14.070102
9.8912,39,14.071102
9.798599,65,14.392442
9.9269,32,14.468015
9.9009,42,15.593928
9.9009,42,15.595434
9.9319,32,16.160812
9.9272995,28,16.321635
9.9116,35,16.565936
9.9373,28,16.640516
9.911699,34,16.725623
9.916699,34,16.805695
9.9164,37,16.890094
9.8963995,37,17.443896
9.9015,36,18.540685
8.901299,38,18.720803
7.3912992,38,19.277347
7.8914995,36,19.277347
9.9268,33,19.440299
6.3862996,38,19.692056
9.8911,40,19.950495
7.8911,40,20.124592
9.8861,40,20.249443
9.9217,34,20.371284
9.9066,35,21.681037
9.9321995,29,21.767427
9.9321995,29,21.767427
9.9011,40,21.920869
9.9165,36,22.700997
9.8859,42,22.933912
9.9114,37,23.26449
9.8912,39,23.354172
9.9059,42,23.435413
9.8962,39,23.526656
9.911799,33,24.578312
8.4066,35,24.578312
9.9375,26,25.054043
9.885799,43,25.139133
9.9274,27,25.688654
7.3650994,50,25.773648
9.885799,43,26.1819
9.896,41,26.682281
9.921599,35,27.446626
9.87,51,27.446626
9.8701,50,27.520115
9.9164,37,27.604511
9.9321995,29,28.152465
9.9163,38,28.237637
9.8806,45,28.720633
9.896299,38,28.795288
9.8959,42,29.61769
9.9059,42,30.095895
9.916699,34,30.180699
9.911699,34,30.335347
9.906099,40,30.732932
9.8808,43,30.892892
9.911799,33,30.892892
9.8808,43,31.642488
9.9115,36,31.642488
9.9165,36,31.718248
9.4067,34,32.373675
9.9218,33,33.010366
