#{"t_start": 1760601168.6846173, "env_id": "None"}
r,l,t
9.9274,25,2.311822
9.417,29,2.627482
9.906799,31,2.786409
9.4066,33,2.960741
8.8963995,35,3.115145
9.896,39,3.4259
9.8608,41,3.581767
9.8807,42,3.668263
9.8299,50,4.299625
9.819799,51,4.37621
9.9016,35,5.108431
7.3964996,36,5.684713
6.391,41,5.933626
9.886,41,6.256915
5.8706,45,6.741603
9.896,41,6.741603
9.8959,42,7.070488
9.8756,45,7.232996
8.8805,46,8.02601
7.8703,48,8.281733
9.9221,30,8.369336
9.9064,37,8.685411
9.927,31,8.758349
9.3453,48,8.997472
9.927099,30,9.153749
8.916699,34,9.938488
9.4063,38,10.102091
9.9221,30,10.423573
9.840199,49,10.683682
9.906799,33,11.787201
9.8602,49,12.279438
9.8754,47,12.533426
9.3807,44,12.533426
9.8096,55,12.697605
9.875,51,12.773444
9.9015,36,13.363412
9.8807,44,13.52233
9.927099,30,14.234448
9.8755,46,14.393241
9.9375,26,14.393241
9.3544,57,14.70584
9.9221,30,14.949361
9.9272995,28,15.022127
9.9065,36,15.423372
9.927199,29,15.658192
9.880899,42,16.095935
9.9116,35,16.407452
9.9221,30,16.897536
9.9119,32,17.384991
9.885699,44,17.853501
9.8707,44,18.687403
9.849899,52,18.687403
9.8912,39,18.687403
9.3705,46,18.774338
9.4269,32,18.774338
8.881,41,19.091889
9.896299,38,19.973276
9.8806,45,20.055225
9.9272995,28,20.994971
9.922,31,21.175898
9.9324,27,21.24828
9.911699,34,21.405577
9.8756,45,21.49318
9.889999,51,21.49318
9.8966,35,21.49318
9.886,41,22.03008
9.9272995,28,22.188181
9.8907995,43,23.471197
9.9169,32,24.051268
9.8706,45,24.603978
9.8758,43,24.696198
9.886,41,24.771597
9.9115,36,24.935759
9.8804,47,24.935759
9.895399,47,25.183326
9.860399,47,25.261211
9.8754,47,26.001162
9.8708,43,26.973814
9.8909,42,27.454976
9.906799,33,27.454976
9.917,31,27.454976
9.9272995,28,27.528695
9.9014,37,27.61068
9.912,31,27.683013
9.896299,38,27.993709
9.8859,42,28.076703
9.8962,39,29.133447
9.916599,35,29.758
9.9275,26,30.073798
9.8965,36,30.318704
9.9064,37,30.395592
9.375999,41,30.717074
9.8859,42,30.885212
9.8911,40,30.885212
9.891399,37,31.060544
9.8807,44,31.173557
9.8968,33,31.917762
9.8965,36,32.805906
9.9221,30,33.287206
9.9066,35,33.287206
