#{"t_start": 1760601203.022815, "env_id": "None"}
r,l,t
9.911799,31,2.531053
9.9016,33,2.702365
9.901199,37,3.010453
9.886,39,3.16403
9.9059,40,3.23547
9.8807,42,3.388654
9.8756,43,3.470384
8.3954,45,3.620114
9.9002,47,3.772045
9.8847,52,4.15431
9.8709,42,5.80496
9.3963995,37,6.350667
9.8914995,36,6.434918
8.3653,48,6.434918
9.8959,42,6.507288
9.8805,46,6.590862
9.8757,44,6.816698
6.3861995,39,6.816698
7.8698997,52,7.211115
9.4172,29,8.71342
9.8742,59,8.783381
9.8807,44,9.246947
9.9323,28,9.404227
9.401199,39,9.404227
9.901299,38,9.484847
9.9063,38,9.789212
8.426,41,10.019194
9.910199,49,10.278095
9.904699,54,10.80603
9.9064,37,11.690227
9.8763,38,12.581357
9.391399,37,12.581357
9.889999,51,12.913162
9.885599,45,12.995026
9.8757,44,13.068444
9.8811,40,13.3806
8.3967,34,13.696905
9.3707,44,13.937121
9.8791,60,14.713983
9.4219,32,15.100884
9.9217,34,15.255307
9.8756,45,15.425091
9.9113,38,15.967499
9.9059,42,16.198854
9.9064,37,16.835244
9.9161,40,16.835746
9.8956995,44,16.835746
9.8945,56,17.443727
9.896,41,17.930893
9.901199,39,18.168052
9.9011,40,18.557147
9.8806,45,18.795257
9.385699,44,19.433449
9.8806,45,19.752968
9.8913,38,19.826805
9.8861,40,19.985854
9.9018,33,20.560232
9.4168,33,20.799337
9.8448,53,21.047938
9.360399,47,21.206527
9.927,31,21.281036
9.8553,48,22.34936
9.9168,33,22.593877
9.9011,40,22.898454
9.8961,40,22.988015
9.911699,34,23.842512
9.4156,45,24.068247
9.894099,60,24.151746
9.8758,43,24.61927
9.884899,52,24.850979
9.916699,34,25.004899
9.899699,54,25.241565
9.3912,39,25.965131
9.8811,40,26.122282
9.8755,46,26.20322
9.896299,38,27.176524
9.891,41,27.505577
9.9016,35,27.505577
9.8803,48,27.749937
9.9116,35,27.749937
9.8658,43,28.548461
9.9066,35,28.870864
9.9067,34,28.946575
9.8701,50,29.350937
9.8961,40,29.508057
9.912,31,29.660861
9.9065,36,30.3523
9.9168,33,30.3523
9.8808,43,30.913293
9.885699,44,31.22087
9.896,41,31.757843
9.916599,35,32.075804
9.886,41,32.165492
9.8963995,37,32.400405
9.8755,46,32.481382
9.9169,32,33.429674
9.8706,45,33.905048
9.865299,48,34.13201
9.8244,57,34.13201
9.8961,40,34.36705
