#{"t_start": 1760602120.026198, "env_id": "None"}
r,l,t
17.1053,156,14.749914
17.078,169,15.976937
16.020199,187,17.634994
17.527,189,17.81548
17.4216,233,21.930605
9.988897,240,22.58449
17.378101,258,24.278994
12.901396,265,24.936921
15.0527,174,32.229308
6.898411,345,32.408693
15.0968,163,33.042153
13.533297,208,34.172071
14.062597,195,35.859708
17.0998,163,40.186362
14.612998,171,40.286092
16.9609,222,42.685133
5.270613,245,45.573893
-32.429962,498,46.779581
17.6157,154,47.516231
14.088598,165,47.876289
14.551999,181,49.205964
17.617199,159,55.153466
16.446198,229,57.369264
13.065699,174,59.134656
11.178406,267,59.321972
16.6479,142,62.600248
10.271713,244,63.275944
15.029599,195,63.905888
10.064004,181,64.563004
8.531105,190,65.765985
12.559299,178,71.719505
12.5476,185,74.659414
16.084099,170,75.136949
17.6758,133,76.237962
14.646099,140,76.237962
14.5187,194,77.159313
2.3802886,368,81.180343
16.0852,169,81.470319
16.9861,210,82.130586
13.9473,228,85.771673
17.5957,164,87.090175
15.620899,152,89.455079
17.617397,157,89.455079
17.1394,147,90.09423
17.1148,153,90.665969
17.124397,157,91.999151
17.645699,144,95.085449
17.1223,148,96.113128
14.0791,170,97.243571
17.1498,143,99.255934
16.614298,158,104.166854
15.604198,159,104.252024
17.608398,157,105.303431
15.9862,199,105.781862
17.0056,175,106.433383
17.596298,168,107.662422
13.658099,140,108.161802
17.6073,158,110.808015
17.0507,174,113.36064
17.147898,152,113.36064
16.1278,143,117.498238
17.135199,149,119.600771
16.6166,155,121.980073
17.047897,192,121.980073
17.581497,176,124.388218
14.608691,214,126.21276
17.083199,179,127.309018
17.590698,174,129.463923
15.053499,176,129.651966
12.03318,289,132.057636
17.642597,165,132.803142
17.127098,150,133.468921
17.598999,171,137.903187
17.623398,157,139.018596
16.576294,198,140.437947
17.6467,134,142.024628
16.645397,167,142.95296
15.556899,182,143.248108
17.5989,162,144.847878
17.6185,156,146.679072
17.1316,155,147.986508
17.137695,164,148.173628
17.1083,158,152.708471
17.6543,138,153.378732
17.066399,167,154.655906
17.165499,136,155.67202
17.133999,151,156.164354
17.0882,159,158.074286
17.565098,170,160.645231
17.0964,157,161.291508
17.6292,149,162.079087
17.028198,189,165.673354
14.620499,156,167.219962
17.632797,153,167.590621
17.6222,149,169.550156
15.589599,165,169.990233
17.592598,165,171.502249
16.634298,148,171.865954
16.6495,136,173.336429
17.1237,154,176.40265
