#{"t_start": 1760601238.4446044, "env_id": "None"}
r,l,t
13.792198,77,7.509416
13.783363,82,7.956586
13.756098,88,8.495253
13.260998,89,8.590424
13.75403,92,8.852231
13.245497,94,9.033123
13.729998,99,9.516291
13.68163,116,11.06864
13.807697,74,15.648458
13.762564,92,16.348771
13.747065,97,16.348771
13.801597,85,16.796229
13.249031,94,17.056355
13.761097,90,17.707684
6.5301647,214,20.054759
13.662497,126,22.708613
7.724199,257,24.079616
13.776398,87,24.861567
13.290431,80,25.135751
13.7396965,104,25.21954
13.741764,100,25.579657
13.766362,104,25.950511
13.708897,112,27.404125
13.71233,111,30.246175
7.752564,242,30.782447
13.75403,94,31.230121
13.778364,84,31.696301
13.276398,87,33.540235
13.740097,100,34.3418
13.704497,106,34.527262
13.750597,95,34.629593
13.713997,111,35.253578
13.26473,87,35.351899
13.7972975,78,38.069384
13.253731,97,39.282004
13.754531,89,39.558516
12.773165,86,39.735463
13.788364,84,41.36542
13.772863,89,43.624641
13.239997,101,43.889613
13.73303,104,43.96958
13.704097,110,44.820878
13.268129,103,44.820878
13.316132,73,46.346149
13.737064,97,46.869117
13.764331,91,47.524491
13.769331,91,47.793968
11.235101,100,50.465027
13.802298,78,50.994932
13.786798,83,51.177359
13.790832,76,51.8718
13.787098,80,52.254452
13.729797,103,53.547762
13.274731,87,54.420933
13.292097,80,54.960121
13.297098,80,55.228293
13.771297,88,58.663511
13.776798,83,58.930541
13.257765,90,59.415926
13.734997,101,61.131219
10.662932,155,61.230301
13.71273,107,62.033421
13.228331,101,62.767954
12.77443,90,63.480962
13.765496,96,63.757578
12.798564,82,66.108667
11.242267,95,68.249608
13.293665,81,68.760385
13.710564,112,69.411434
13.290131,83,69.885764
12.748631,98,70.45648
13.29553,79,71.290354
13.262465,93,71.600456
12.7558975,92,72.245343
9.560499,196,72.717805
13.799629,88,74.665519
13.786898,82,76.049431
13.759531,89,77.841852
13.711063,107,78.831292
13.235097,100,79.300315
13.75383,96,80.297323
13.204097,110,80.775239
13.736964,98,81.958764
13.768028,104,82.045229
13.190264,115,82.410823
13.776598,85,82.588798
13.7542305,92,84.628036
13.792198,79,86.657058
13.771498,86,86.839991
13.750397,97,86.839991
12.785431,80,88.226238
13.7493305,91,88.781246
12.773165,86,89.913675
13.278164,86,89.999765
13.762764,90,90.720199
13.751964,98,91.634789
12.224797,103,94.160332
13.776497,86,94.610541
13.776398,87,94.895232
13.771197,89,95.074785
