#{"t_start": 1760601961.9438233, "env_id": "None"}
r,l,t
15.624751,139,13.190435
15.562851,158,14.992387
14.066649,170,16.097134
15.524052,171,16.183086
15.517502,174,16.47034
15.49085,178,16.839885
14.037249,189,17.848272
14.025848,203,19.101013
13.505149,210,19.731907
15.355503,219,20.547576
15.644801,128,28.251738
15.046102,165,31.693965
15.581151,152,32.250092
15.465752,181,33.567233
15.622651,137,33.667877
15.608,146,33.667877
15.428452,204,34.212471
15.4105015,196,35.293271
14.090097,175,35.65543
12.302591,300,41.440416
15.611001,141,41.543969
15.657401,127,45.693939
15.581051,153,46.17259
15.614751,141,47.009204
15.572601,150,47.762179
15.536851,170,48.324255
15.092501,151,48.529303
14.606951,144,48.996441
15.056201,164,51.185176
15.659901,127,53.648612
15.004801,178,58.424902
15.598101,145,60.768152
15.6181,145,61.510783
15.553901,162,61.510783
15.538401,167,61.510783
15.6057005,144,61.956907
15.598101,145,62.242852
15.162601,125,63.074562
15.598751,151,63.261929
15.657001,131,65.892776
15.067101,155,73.10805
15.5958,143,74.332729
15.107051,143,75.093975
15.628901,137,75.285354
15.604851,140,75.285354
14.577201,154,76.142702
15.552752,161,76.778986
15.593851,150,77.515216
14.561801,158,78.07656
15.584801,153,80.525385
15.15325,131,87.674396
15.6987,114,87.762769
15.6348505,140,88.712004
15.6,151,88.812462
15.598751,151,89.747626
15.614651,142,89.747626
15.5301,175,89.834243
15.662701,124,90.018297
15.606851,145,94.44102
13.988605,215,98.237263
15.161251,126,100.771585
15.618601,140,101.056296
14.637951,134,102.529044
15.6082,144,103.466347
15.561901,157,103.741627
15.581051,153,104.386521
15.609451,144,108.169301
12.487056,218,110.734206
15.625151,137,113.765269
14.632451,139,114.222666
11.399715,279,114.32755
15.65095,129,114.782881
15.492002,181,115.355813
15.653551,128,115.945261
15.577401,152,118.830374
13.051102,165,119.107381
15.5303,173,124.594345
15.594051,148,124.776954
15.62765,137,126.659332
15.653651,127,126.761548
15.079802,153,128.672441
15.5641,160,129.425421
15.149502,131,131.467351
15.510951,179,132.221751
14.096455,174,132.31094
15.604351,145,132.502361
15.632951,134,137.199953
14.10725,141,139.947974
15.585201,149,140.787926
15.638151,132,141.832381
15.570751,156,143.454564
15.610901,142,144.931165
15.629002,136,145.386988
13.968956,224,145.976134
15.592901,147,146.162651
15.559201,159,147.396734
15.558901,162,152.590513
15.574601,155,154.672423
15.573551,153,156.379512
15.5393505,170,157.025051
