#{"t_start": 1760601564.5181334, "env_id": "None"}
r,l,t
13.139463,121,10.686615
12.160229,130,11.597368
13.115995,139,12.361206
12.142462,141,12.529687
13.618929,143,12.69527
12.120396,145,12.860851
11.613434,148,13.106026
12.076928,163,14.373075
12.075261,163,14.373075
11.5580015,169,14.887453
13.205963,108,23.790517
13.658762,130,24.13396
12.105862,159,24.560875
11.586767,150,25.352142
13.609694,154,25.958527
13.650129,133,26.579808
12.064096,160,27.119643
11.551534,169,27.462973
12.00013,183,27.558733
11.532701,174,29.643193
13.654564,122,34.892499
13.704897,102,36.418048
13.670963,108,37.037135
12.146896,132,37.541434
9.618732,147,37.541434
13.618763,130,38.458564
13.60483,136,38.458564
13.570096,150,38.548463
12.054962,168,38.548463
13.665264,115,45.024114
13.653497,116,46.589618
12.237028,114,47.028025
11.9652,199,47.108521
13.678797,113,47.455106
13.650829,126,49.607925
13.604529,139,49.688163
10.160534,129,49.782279
13.612097,130,49.952199
11.6464,137,50.451181
13.675863,109,56.172879
13.696564,102,56.448937
13.595996,141,57.385407
13.618063,137,58.99064
13.68763,108,59.271083
13.597862,139,59.271083
13.671829,116,60.618365
12.110296,148,62.886796
13.061262,155,63.238443
13.675564,112,66.096338
13.615029,134,67.755604
5.00027,215,68.355445
13.622196,129,68.528363
13.69753,109,68.700386
13.668396,117,69.135024
13.140064,117,69.388215
13.68813,103,71.92248
13.591396,137,72.605378
13.6046295,138,75.356539
13.67753,109,75.69483
13.230698,94,76.623316
13.16203,114,77.769873
13.211464,103,78.475455
13.64073,127,80.298416
13.614929,135,80.390131
13.583929,145,81.447884
8.123869,129,83.210718
13.673596,115,85.381474
13.072163,146,85.381474
13.688996,111,85.381474
10.199501,106,87.199854
13.575596,145,89.465714
13.603263,135,90.435934
13.16703,114,90.526284
13.69283,106,90.864514
12.64613,123,91.208533
13.737364,94,91.545702
13.204798,103,94.482913
13.679398,107,94.830749
13.677731,107,94.830749
13.610129,133,98.804047
13.199797,103,99.408427
13.691263,105,99.994164
13.184797,103,100.515875
13.643297,118,100.835193
13.6053295,131,100.915318
13.648096,120,101.715425
13.734031,94,103.098526
13.7256975,94,103.098526
13.65633,121,105.097164
13.740997,91,108.88613
13.65683,116,110.19359
9.664732,137,110.794543
9.651599,135,111.225767
13.629063,127,111.65333
9.669266,125,111.732434
13.643097,120,112.152719
13.64653,119,113.441537
13.71373,97,113.533282
13.647997,121,113.618347
13.7118635,99,117.806111
