#{"t_start": 1760600904.7490783, "env_id": "None"}
r,l,t
7.9992,7,2.046261
7.999,9,2.183268
7.9986,13,2.465189
7.9986,13,2.465189
7.9983,16,2.753019
7.9983,16,2.753019
7.999,11,3.039347
7.9992,9,3.173642
-6.0029,28,3.574681
-6.0029,28,3.575678
7.9989,12,3.575678
-6.0029,28,3.575678
-6.0029,28,3.575678
7.9996,5,3.969352
7.9989,12,4.040898
-6.0029,30,4.239188
7.9994,7,4.521872
7.9986,15,4.65623
-6.0029,30,4.65623
7.9991,10,4.65623
-6.0029,30,4.858553
7.9995,6,4.929574
7.9994,7,5.134911
-6.0029,30,5.134911
-6.0029,30,5.670677
-6.0029,30,5.670677
-6.0029,30,5.670677
7.9992,9,5.741963
7.9996,5,6.026552
7.9988,13,6.026552
7.9984,17,6.085487
-6.0029,30,6.321744
7.9991,10,6.387355
7.9995,6,6.587983
7.9993997,7,6.587983
7.9992,9,7.253999
-6.5029,30,7.324015
-6.0029,30,7.324015
-6.0029,30,7.535504
7.9991,10,7.612635
7.9995,6,7.675684
7.9979,22,7.830878
7.9992,9,7.977825
7.9991,10,8.050785
7.9994,7,8.182015
7.9996,5,8.390344
-6.0029,30,8.459495
7.9977,24,8.791929
7.9989,12,8.791929
-6.0029,30,9.09084
-6.0029,30,9.232444
7.9984,17,9.373133
7.9993,8,9.373133
-6.0029,30,9.683753
-6.5029,30,9.766126
-6.0029,30,9.974847
7.9992,9,10.07938
7.9992,9,10.64188
7.9994,7,10.711015
-6.0029,30,10.778902
-6.0029,30,10.846313
7.9995,6,11.121464
-6.0029,30,11.184413
7.9994,7,11.253991
7.9995,6,11.253991
-7.0029,30,11.459424
-6.0029,30,11.611097
7.9995,6,11.683558
7.9993,8,11.683558
-6.0029,30,11.755171
7.9992,9,11.827811
7.9973,28,11.898882
7.9993,8,12.240229
7.9994,7,12.312859
-6.0029,30,12.380765
7.9991,10,12.380765
7.9996,5,12.656123
-6.0029,30,12.724591
7.9996,5,12.724591
7.9985,16,12.866494
7.999,11,13.00582
7.9992,9,13.352522
-6.0029,30,13.352522
7.9992,9,13.491287
7.9993,8,13.559748
-6.0029,30,13.560746
-6.0029,30,13.699378
7.9995,6,13.790283
7.9994,7,14.00221
-6.0029,30,14.00221
7.9989,12,14.205839
7.9993,8,14.278812
7.9992,9,14.413985
-6.0029,30,14.488786
7.9994,7,14.488786
7.9994,7,14.488786
-6.0029,30,14.769906
7.9993,8,14.769906
-6.0029,30,14.828892
7.9991,10,14.973926
7.9993997,7,14.973926
7.9991,10,15.176466
7.9995,6,15.176466
7.9994,7,15.444334
-6.0029,30,15.647753
7.9994,7,15.647753
-6.0029,30,15.647753
7.9993,8,16.206729
7.9993,8,16.206729
7.9989,12,16.276418
-9.0029,30,16.474445
7.9976,25,16.543691
-6.0029,30,16.543691
7.9994,7,16.683947
7.9993,8,16.756014
-6.0029,30,16.825331
7.9995,6,16.962077
-6.0029,30,17.031128
-6.0029,30,17.229173
7.9992,9,17.300265
7.9987,14,17.442145
7.9991,10,17.642675
7.9989,12,17.642675
-6.0029,30,17.711526
7.9993,8,17.976865
7.999,11,17.976865
7.9986,15,18.046745
7.9995,6,18.114888
-6.0029,30,18.338054
-6.0029,30,18.599617
-6.0029,30,18.800728
-6.0029,30,19.336483
7.999,11,19.336483
7.9985,16,19.404077
-6.0029,30,19.678614
-6.0029,30,19.678614
7.9995,6,19.748742
7.9995,6,19.748742
-6.0029,30,20.021653
-6.0029,30,20.021653
7.9992,9,20.021653
7.9996,5,20.092326
-6.0029,30,20.092326
-6.0029,30,20.165657
7.9995,6,20.165657
7.9996,5,20.462984
7.9993,8,20.615927
7.9987,14,20.677424
7.9992,9,20.677424
7.9993,8,20.677424
7.9992,9,20.818944
-6.0029,30,20.890274
7.9993997,7,20.960581
7.9996,5,21.158776
7.9993,8,21.431807
7.9995,6,21.565585
7.9981,20,21.565585
-6.0029,30,21.76786
7.9995,6,21.835231
7.9996,5,21.903479
7.9995,6,21.969451
-6.0029,30,22.102733
7.9995,6,22.172226
7.9994,7,22.380226
7.9993,8,22.380226
7.9995,6,22.380226
-6.5029,30,22.679986
-6.0029,30,22.739153
7.9993,8,22.739153
-6.0029,30,22.739153
7.9996,5,22.739153
-6.0029,30,22.739153
7.999,11,22.885677
-6.0029,30,23.019893
7.9996,5,23.095977
7.999,11,23.157243
7.9994,7,23.157243
7.9994,7,23.228853
7.9995,6,23.440024
7.9994,7,23.644366
7.9994,7,23.703524
7.9993,8,23.976406
7.9991,10,24.314724
-6.0029,30,24.444505
7.9996,5,24.646422
-6.0029,30,24.802485
-6.0029,30,24.802485
-6.0029,30,24.802485
-6.0029,30,25.043121
7.9973,28,25.21687
7.9994,7,25.275253
-8.5029,30,25.275253
7.9992,9,25.552243
7.9986,15,25.623068
7.9988,13,25.823141
7.9996,5,25.89085
-6.0029,30,25.89085
-6.0029,30,26.161673
7.9995,6,26.230004
7.9992,9,26.230004
7.9993,8,26.70446
-6.0029,30,26.987176
7.9984,17,27.060613
7.9995,6,27.151961
