#{"t_start": 1760601101.4689429, "env_id": "None"}
r,l,t
9.8663,36,2.645966
9.8762,37,2.719015
9.8708,41,2.99173
9.8907995,41,2.99173
9.8508,41,2.99173
9.9106,43,3.135525
9.8656,43,3.135525
9.890499,44,3.206109
9.8495,54,3.88942
9.859099,58,4.169513
9.9114,37,5.559051
9.895499,46,6.171665
9.932099,30,6.244967
9.9065,36,6.376055
5.7890043,61,6.883596
9.899599,55,7.021907
9.879299,58,7.16948
9.849299,58,7.16948
9.838699,64,7.449474
5.772607,75,7.92892
9.9115,36,8.970754
9.8716,35,9.045242
9.8969,32,9.890036
9.8742,59,9.890036
9.906,41,10.231054
9.8286,65,10.914278
9.8742,59,11.2004
9.8243,58,11.278103
9.911799,33,11.278103
9.8592,59,11.481864
9.865,51,11.713079
9.8913,38,12.547869
9.9217,34,12.609919
9.8248,53,12.755831
9.9072,29,12.970849
9.9065,36,13.733642
9.779099,60,14.100691
9.8759,42,14.237693
9.8961,40,14.315897
8.3396,55,15.140955
9.9017,34,15.140955
9.8764,37,15.215037
9.901199,39,15.288733
9.8967,34,15.352928
9.9219,32,15.972548
9.7789,62,16.066073
9.927,31,16.276313
9.8968,33,16.560908
9.870299,48,17.67738
9.9066,35,17.752284
9.9165,36,17.887778
9.8962,39,17.94987
9.8708,43,18.155507
9.8709,42,19.508833
9.829599,55,20.157175
9.8741,60,20.241314
9.7478,73,20.310016
9.7887,64,20.637316
9.881,41,20.715345
9.885599,45,20.932567
9.8709,42,21.213831
9.875299,48,21.420599
9.906899,32,21.853018
9.9323,28,22.295156
9.8963995,37,22.870352
9.8864,37,23.039315
9.9064,37,23.472617
9.9065,36,23.623157
9.6923,78,23.623157
9.8961,40,23.623157
9.9267,34,23.778656
9.9014,37,24.207812
9.906899,32,24.700647
9.8912,39,24.767016
9.9221,30,25.131992
9.9164,37,25.781041
9.9218,33,25.992198
9.906,41,26.545461
9.890499,46,26.744613
9.9114,37,26.818785
9.855,51,27.231106
9.8502,49,27.231106
9.8812,39,27.442392
9.8917,34,27.505348
9.8911,40,27.599972
9.8961,40,28.782573
9.8708,43,28.782573
9.886299,38,29.200909
9.8966,35,29.263239
9.8762,39,29.471661
9.9219,32,29.472625
9.9018,33,29.753424
9.901999,31,29.754456
9.8709,42,30.19382
9.91,51,31.096398
9.9064,37,31.374126
9.9217,34,31.594847
9.9116,35,31.731447
9.922299,28,31.731447
9.8554,47,32.099082
