#{"t_start": 1760601058.662158, "env_id": "None"}
r,l,t
9.908999,59,4.136061
9.6765995,83,5.803846
7.5900993,98,7.003029
6.5744987,104,7.416563
6.972799,121,8.591497
-13.1579,128,9.075699
-9.157902,128,9.075699
-6.657901,128,9.075699
-11.157884,128,9.075699
-6.657901,128,9.075699
9.825399,47,9.246972
9.8358,43,9.993053
9.8965,36,11.588539
9.7952,49,12.480242
9.9515,36,12.480242
9.949499,56,12.480242
9.7745,56,12.961988
-18.657906,130,13.303961
9.9367,34,13.947071
9.807699,74,14.217305
9.9169,32,14.69926
5.5441074,110,15.030477
9.957,31,16.357642
9.9217,34,17.048269
9.7793,58,17.32951
9.7378,73,17.53436
9.8043995,57,17.881677
-14.1579,130,18.106729
-6.657901,130,18.253515
9.8299,52,18.664735
9.9317,34,18.735529
9.941099,40,20.339835
9.8914995,36,20.419193
9.559199,109,20.554313
7.9962,39,20.838493
9.507999,121,20.914659
9.8295,56,20.977892
9.931,41,21.780675
9.946899,32,22.778313
9.8970995,30,22.846673
9.8918,33,22.91732
9.9067,34,23.526757
5.757906,72,23.883808
9.896,41,23.884805
9.767099,80,24.016196
9.9007,44,24.158744
9.9366,35,24.229821
9.564899,102,24.642635
9.932099,30,24.847725
9.901899,32,25.767323
9.830299,48,26.17236
9.9251995,49,26.315805
9.9317,34,26.385679
9.9067,34,26.585481
9.8403,48,27.235533
9.896299,38,27.298594
9.7998,53,27.857057
9.9123,28,28.341015
9.8867,34,28.978035
9.742499,76,29.186628
9.9109,42,30.173372
9.6675,76,30.173372
5.768405,67,30.872619
9.7276,75,31.013457
9.890699,44,31.423931
9.9007,44,32.07404
9.915899,42,32.144699
9.952,31,32.347503
9.9311,40,32.971658
9.931999,31,33.031715
5.7001095,100,33.31967
9.9519,32,33.659791
9.8970995,30,34.17638
9.7602,99,34.251736
9.952,31,34.315766
5.6508064,93,34.389102
9.809999,51,34.595661
9.8515,36,34.878181
9.9214,37,35.635737
9.8916,35,35.786737
9.955999,41,35.859735
9.856,41,36.735478
9.937099,30,36.869872
9.926399,37,36.941586
9.8762,39,37.218882
9.9219,32,37.279957
9.885799,43,37.555376
9.8145,56,38.312848
9.871099,40,38.6049
9.8962,39,38.676914
9.927,31,38.880071
9.8656,45,39.161473
9.8967,34,39.650272
9.8815,36,40.068707
9.941299,38,40.992743
9.881599,35,41.12693
9.769,61,41.199522
9.906899,32,41.409697
9.9286995,64,41.687047
9.850599,45,41.759491
