#{"t_start": 1760600958.2557406, "env_id": "None"}
r,l,t
7.9958,41,3.216386
7.9958,41,3.217384
7.9984,17,4.361885
7.9938,61,4.564719
7.9933,66,4.91797
7.9915,84,6.133794
7.9977,24,6.202185
7.9946,55,6.946977
-6.0099,98,7.10677
-7.5099,98,7.10677
-18.009903,98,7.10677
-14.509901,98,7.107768
-12.009899,98,7.107768
7.9963,38,8.711012
7.9979,22,10.217129
7.9952,49,10.426229
-18.509907,100,11.170464
7.9925,76,11.400897
-11.009901,100,11.742292
7.9978,23,12.010553
5.492406,77,12.348453
7.9965,36,12.678571
-7.5099006,100,13.778517
-6.0099,100,13.922158
-6.0099,100,13.922158
-18.009907,100,13.922158
7.9963,38,13.990654
7.9976,25,14.38726
7.9952,49,15.661902
7.9974,27,16.229557
7.999,11,17.08458
7.9953,48,17.288804
7.9951,50,17.420156
7.9911,90,17.965539
-16.009903,100,18.123792
7.9937,64,18.479912
7.998,21,18.554286
7.9978,23,18.905503
-27.009865,100,18.971915
7.9948,53,19.44683
7.9971,30,20.190791
-6.0099,100,20.755794
-6.0099,100,20.89037
7.9948,53,21.099699
7.9963,38,21.170848
7.9968,33,21.229347
7.9964,37,21.989009
7.9984,17,22.335477
7.9942,59,22.984051
7.9971,30,23.180401
7.9963,38,23.859732
7.9913,88,24.075068
7.9982,19,24.49051
7.9985,16,25.20882
-20.509905,100,25.419497
7.9936,65,25.419497
7.9916,85,26.094435
7.9954,47,26.22663
7.9966,35,26.295688
7.9985,16,26.505537
7.9987,14,27.262919
7.9929,72,27.332402
-13.509912,100,27.682305
7.9951,50,27.965976
7.9976,25,28.248707
7.9947,54,28.922139
7.9977,24,28.922139
-6.0099,100,28.922139
7.9979997,21,29.142076
7.9971,30,29.423517
7.994,61,29.625397
7.9979,22,29.768356
7.9971,30,30.052395
7.9942,59,30.327838
7.9978,23,30.539278
7.9977,24,30.609645
7.9985,16,30.746216
7.9977,24,31.477187
7.9976,25,32.587362
7.9948,53,32.926218
7.9961,40,32.926218
7.995,51,33.060858
-12.009906,100,33.132377
7.996,41,33.532759
7.9969,32,33.763905
7.9931,70,33.90066
7.9988,13,34.794138
7.9935,66,35.004675
7.9971,30,35.004675
7.9963,38,35.221384
7.9963,38,35.704611
7.9923,78,36.076465
7.9983,18,36.285654
7.9953,48,36.285654
7.9955,46,36.35544
7.9983,18,36.962094
7.9944,57,37.518648
7.996,41,37.652146
7.9976,25,37.793067
7.9961,40,37.793067
7.9951,50,38.705896
7.9929,72,38.778974
7.9965,36,38.840572
7.998,21,38.988307
7.996,41,39.119456
7.9956,45,39.394477
7.9961,40,39.740984
7.9958997,42,40.611315
