Wall time,Step,Value
1760600908.6125238,320,28.0
1760600910.8365598,640,17.0
1760600913.6919863,960,12.0
1760600916.2127347,1280,30.0
1760600918.4517913,1600,30.0
1760600920.6801143,1920,30.0
1760600922.8670933,2240,6.0
1760600925.0498116,2560,6.0
1760600927.269938,2880,6.0
1760600929.466124,3200,5.0
1760600931.8137224,3520,17.0
1760600934.0349584,3840,5.0
1760600936.243295,4160,6.0
1760600938.479791,4480,30.0
1760600940.6624372,4800,10.0
1760600942.8949394,5120,8.0
1760600945.2656329,5440,6.0
1760600947.4895875,5760,6.0
1760600949.7395666,6080,30.0
1760600952.000044,6400,7.0
1760600954.2398696,6720,10.0
1760600956.4753773,7040,6.0
1760600960.84802,7460,5.0
1760600963.018461,7780,61.0
1760600965.2060158,8100,55.0
1760600967.3820653,8420,38.0
1760600969.569869,8740,100.0
1760600971.7468376,9060,36.0
1760600973.9206738,9380,49.0
1760600976.2252693,9700,90.0
1760600978.4501078,10020,30.0
1760600980.6645756,10340,17.0
1760600982.8814588,10660,19.0
1760600985.0939765,10980,16.0
1760600987.3197281,11300,100.0
1760600989.545259,11620,16.0
1760600991.8598983,11940,41.0
1760600994.0951915,12260,38.0
1760600996.3218637,12580,40.0
1760600998.5638852,12900,40.0
1760601002.373412,13260,24.0
1760601004.7444878,13580,30.0
1760601007.344172,13900,40.0
1760601009.6919405,14220,113.0
1760601012.019937,14540,148.0
1760601014.3667374,14860,15.0
1760601016.747985,15180,20.0
1760601019.1490686,15500,37.0
1760601021.7043114,15820,28.0
1760601024.120338,16140,17.0
1760601026.5604506,16460,33.0
1760601029.0028214,16780,18.0
1760601031.4513588,17100,34.0
1760601033.8586676,17420,19.0
1760601036.3918571,17740,22.0
1760601038.78569,18060,31.0
1760601041.1998312,18380,30.0
1760601043.6337786,18700,28.0
1760601046.058401,19020,27.0
1760601048.5434322,19340,17.0
1760601051.1815987,19660,25.0
1760601053.6141047,19980,19.0
1760601055.990162,20300,14.0
1760601060.9565465,20830,15.0
1760601063.1312249,21150,59.0
1760601065.5229359,21470,83.0
1760601067.7409177,21790,128.0
1760601069.9580622,22110,43.0
1760601072.1851075,22430,130.0
1760601074.3816555,22750,110.0
1760601076.6196086,23070,57.0
1760601078.8497605,23390,34.0
1760601081.2819529,23710,41.0
1760601083.5133953,24030,30.0
1760601085.7376335,24350,34.0
1760601087.987123,24670,76.0
1760601090.23034,24990,44.0
1760601092.4692502,25310,32.0
1760601094.82176,25630,41.0
1760601097.118398,25950,56.0
1760601099.3607914,26270,36.0
1760601103.831003,26740,64.0
1760601106.0561912,27060,58.0
1760601108.2729173,27380,36.0
1760601110.7194514,27700,35.0
1760601112.9540675,28020,59.0
1760601115.206634,28340,36.0
1760601117.4449909,28660,32.0
1760601119.6999202,28980,43.0
1760601122.0057833,29300,73.0
1760601124.3426461,29620,37.0
1760601126.737021,29940,30.0
1760601128.977923,30260,34.0
1760601131.2280118,30580,31.0
1760601133.4788406,30900,28.0
1760601137.314158,31230,31.0
1760601139.9980505,31550,47.0
1760601142.8209283,31870,28.0
1760601145.3500762,32190,31.0
1760601148.0044851,32510,36.0
1760601150.6079593,32830,42.0
1760601153.2412457,33150,36.0
1760601155.961692,33470,34.0
1760601158.5489686,33790,39.0
1760601161.129168,34110,43.0
1760601163.7436538,34430,38.0
1760601166.344644,34750,36.0
1760601171.5562475,35230,31.0
1760601174.1136281,35550,35.0
1760601176.7139332,35870,46.0
1760601179.2750096,36190,30.0
1760601181.8684878,36510,51.0
1760601184.42976,36830,29.0
1760601187.1150684,37150,44.0
1760601189.6834693,37470,28.0
1760601192.2438214,37790,43.0
1760601194.8530169,38110,47.0
1760601197.3921752,38430,42.0
1760601200.0854154,38750,44.0
1760601205.6279972,39300,31.0
1760601208.117987,39620,52.0
1760601210.6228251,39940,52.0
1760601213.1265485,40260,41.0
1760601215.8454485,40580,37.0
1760601218.3608634,40900,34.0
1760601220.863455,41220,56.0
1760601223.407768,41540,40.0
1760601225.924287,41860,40.0
1760601228.4210832,42180,54.0
1760601231.0857828,42500,35.0
1760601233.614656,42820,33.0
1760601236.1183507,43140,46.0
1760601241.5741324,43620,57.0
1760601244.5455122,43940,57.0
1760601247.6590903,44260,94.0
1760601250.6004183,44580,116.0
1760601253.541134,44900,116.0
1760601256.4259112,45220,90.0
1760601259.4185607,45540,214.0
1760601262.4122415,45860,126.0
1760601265.3008344,46180,104.0
1760601268.2199569,46500,112.0
1760601271.1501102,46820,84.0
1760601274.075466,47140,87.0
1760601277.1622136,47460,78.0
1760601280.0929592,47780,84.0
1760601282.9553983,48100,104.0
1760601285.8564007,48420,97.0
1760601288.7953558,48740,91.0
1760601291.8810258,49060,80.0
1760601294.784413,49380,80.0
1760601297.7465773,49700,83.0
1760601300.6678948,50020,107.0
1760601303.53642,50340,96.0
1760601306.6962075,50660,95.0
1760601309.737951,50980,79.0
1760601312.807967,51300,196.0
1760601315.799462,51620,82.0
1760601318.7450385,51940,96.0
1760601321.7707226,52260,85.0
1760601324.7198243,52580,92.0
1760601327.683749,52900,91.0
1760601330.6360044,53220,98.0
1760601337.8316853,53850,87.0
1760601340.6393008,54170,87.0
1760601343.5113823,54490,87.0
1760601346.4480135,54810,127.0
1760601349.3042984,55130,127.0
1760601352.1721194,55450,169.0
1760601355.0750542,55770,109.0
1760601357.9055293,56090,128.0
1760601360.6929584,56410,128.0
1760601363.5823689,56730,105.0
1760601366.5952802,57050,109.0
1760601369.3777149,57370,109.0
1760601372.1676736,57690,109.0
1760601375.0190306,58010,100.0
1760601377.8067179,58330,110.0
1760601380.6667757,58650,172.0
1760601383.5807962,58970,124.0
1760601386.4478745,59290,114.0
1760601389.3100188,59610,141.0
1760601392.1656194,59930,110.0
1760601395.1210885,60250,112.0
1760601397.924832,60570,112.0
1760601400.7517629,60890,99.0
1760601403.597067,61210,106.0
1760601406.3444083,61530,211.0
1760601409.1719606,61850,110.0
1760601412.1685722,62170,110.0
1760601415.0332968,62490,130.0
1760601417.875062,62810,104.0
1760601420.7695284,63130,118.0
1760601423.6085653,63450,129.0
1760601426.529438,63770,135.0
1760601429.4077768,64090,116.0
1760601432.2662325,64410,110.0
1760601435.0998852,64730,103.0
1760601437.9676764,65050,107.0
1760601440.942335,65370,108.0
1760601443.733418,65690,107.0
1760601449.088472,66150,107.0
1760601451.8330374,66470,107.0
1760601454.5782611,66790,107.0
1760601457.693412,67110,127.0
1760601460.5554993,67430,143.0
1760601463.215094,67750,143.0
1760601466.0281105,68070,103.0
1760601468.8960226,68390,112.0
1760601471.8024893,68710,125.0
1760601474.4817023,69030,125.0
1760601477.2984722,69350,116.0
1760601480.1713638,69670,132.0
1760601482.9852915,69990,118.0
1760601485.8828175,70310,118.0
1760601488.7784557,70630,118.0
1760601491.6837506,70950,136.0
1760601494.4826007,71270,136.0
1760601497.3307688,71590,107.0
1760601500.3852096,71910,110.0
1760601503.2536101,72230,159.0
1760601506.0888877,72550,181.0
1760601508.8985229,72870,119.0
1760601511.7216358,73190,131.0
1760601514.597961,73510,110.0
1760601517.6055892,73830,116.0
1760601520.4915977,74150,123.0
1760601523.3401332,74470,130.0
1760601526.1728988,74790,140.0
1760601529.0338588,75110,177.0
1760601531.9586787,75430,150.0
1760601534.7664566,75750,137.0
1760601537.6258564,76070,147.0
1760601540.5379968,76390,125.0
1760601543.3854973,76710,108.0
1760601546.2812247,77030,108.0
1760601549.121779,77350,166.0
1760601552.0419831,77670,139.0
1760601554.889231,77990,164.0
1760601557.675054,78310,110.0
1760601560.5863373,78630,121.0
1760601567.3344328,79270,124.0
1760601570.158912,79590,124.0
1760601572.9556,79910,124.0
1760601575.928948,80230,121.0
1760601578.6144257,80550,148.0
1760601581.3581994,80870,169.0
1760601584.210026,81190,169.0
1760601587.0015564,81510,169.0
1760601589.763058,81830,159.0
1760601592.6633875,82150,183.0
1760601595.4271548,82470,174.0
1760601598.2709591,82790,174.0
1760601601.109643,83110,102.0
1760601603.81045,83430,168.0
1760601606.6940928,83750,168.0
1760601609.5453174,84070,115.0
1760601612.3316414,84390,113.0
1760601615.0498712,84710,137.0
1760601617.8399003,85030,137.0
1760601620.7760983,85350,109.0
1760601623.512649,85670,137.0
1760601626.2631269,85990,116.0
1760601629.0311224,86310,155.0
1760601631.8259003,86630,112.0
1760601634.5964859,86950,117.0
1760601637.4680917,87270,137.0
1760601640.2928627,87590,109.0
1760601643.0791926,87910,103.0
1760601645.8548465,88230,135.0
1760601648.6432488,88550,129.0
1760601651.6081197,88870,111.0
1760601654.4166381,89190,145.0
1760601657.1839616,89510,94.0
1760601659.9623427,89830,107.0
1760601662.7620287,90150,107.0
1760601665.6094685,90470,131.0
1760601668.3734446,90790,94.0
1760601671.196495,91110,121.0
1760601674.0121644,91430,91.0
1760601676.750816,91750,120.0
1760601679.6192207,92070,121.0
1760601686.6110063,92670,121.0
1760601689.6607869,92990,121.0
1760601692.716375,93310,121.0
1760601695.6324403,93630,121.0
1760601698.508398,93950,156.0
1760601701.3409007,94270,173.0
1760601704.2461946,94590,198.0
1760601707.1280606,94910,250.0
1760601709.929849,95230,250.0
1760601712.7505877,95550,250.0
1760601715.7800834,95870,190.0
1760601718.8110254,96190,383.0
1760601721.7708967,96510,212.0
1760601724.7959106,96830,212.0
1760601727.743031,97150,209.0
1760601730.8505147,97470,209.0
1760601733.7915423,97790,186.0
1760601736.8120701,98110,190.0
1760601739.7761102,98430,208.0
1760601742.8288083,98750,209.0
